"Name","Catergory","Year","Persons","Reference"
"Schöpfung","Mose",-4230,"1. Mose 1"
"Sündenfall","Mose",,"1. Mose 3"
"Kain erschlägt Abel","Mose",,"1. Mose 4"
"Arche Noah","Mose",-2574,"1. Mose 7"
"Bund mit Noah","Mose",-2574,"1. Mose 9"
"Nachkommen Noahs - Völker nach 1. Mose 10 S.63"
"Turmbau zu Babel","Mose",-2300,"1. Mose 11"
"Gott beruft Abraham","Mose",-2222,"1. Mose 12"
"Abraham kommt nach Kanaan","Mose",,"1. Mose 13"
"Abraham trennt sich von Lot","Mose",,"1.Mose 13"
"Abraham rettet Lot","Mose",,"1. Mose 14"
"Bund mit Abraham","Mose",,"1. Mose 15"
"Bund der Beschneidung","Mose",,"1. Mose 17"
"Gericht über Sodom und Gomorra","Mose",,"1. Mose 19"
"Die Geburt Isaaks","Mose",-2122,"1. Mose 21"
"Die Opferung Isaaks","Mose",,"1. Mose 22"
"Abrahams Tod","Mose",,"1. Mose 25"
"Esau und Jakob","Mose",,"1. Mose 25"
"Jakob empfängt den Erstgeburtssegen","Mose",,"1. Mose 27"
"Jakob flieht","Mose",,"1. Mose 28"
"Jakob kehrt zurück","Mose",,"1. Mose 31"
"Joseph","Mose",-1890,"1. Mose 37"
"Joseph wird verkauft","Mose",,"1. Mose 37"
"Joseph als Sklave","Mose",,"1. Mose 39"
"Josephs Träume","Mose",,"1. Mose 40"
"Träume des Pharaos","Mose",,"1. Mose 41"
"Joseph als Regent","Mose",-1877,"1. Mose 41"
"Söhne Jakobs in Ägypten","Mose",,"1. Mose 42"
"Jakob zieht nach Ägypten","Mose",,"1. Mose 46"
"Jakobs Tod","Mose",,"1. Mose 49"
"Josephs Tod","Mose",-1797,"1. Mose 50"

